month_year,state_name,volume_in_cr,value_in_cr,users_in_lakhs,transactions_in_lakhs
April 2016,Andaman and Nicobar Islands,0.05,0.25,0.01,0.05
May 2016,Andaman and Nicobar Islands,0.06,0.3,0.02,0.10
June 2016,Andaman and Nicobar Islands,0.07,0.35,0.03,0.15
July 2016,Andaman and Nicobar Islands,0.08,0.4,0.04,0.20
August 2016,Andaman and Nicobar Islands,0.09,0.45,0.05,0.25
September 2016,Andaman and Nicobar Islands,0.1,0.5,0.06,0.30
October 2016,Andaman and Nicobar Islands,0.12,0.55,0.08,0.35
November 2016,Andaman and Nicobar Islands,0.15,0.65,0.10,0.45
December 2016,Andaman and Nicobar Islands,0.2,0.75,0.15,0.55
January 2017,Andaman and Nicobar Islands,0.25,0.85,0.20,0.65
February 2017,Andaman and Nicobar Islands,0.3,0.95,0.25,0.75
March 2017,Andaman and Nicobar Islands,0.35,1.05,0.30,0.85
April 2017,Andaman and Nicobar Islands,0.4,1.15,0.35,0.95
May 2017,Andaman and Nicobar Islands,0.45,1.25,0.40,1.05
June 2017,Andaman and Nicobar Islands,0.5,1.35,0.45,1.15
July 2017,Andaman and Nicobar Islands,0.6,1.55,0.55,1.35
August 2017,Andaman and Nicobar Islands,0.7,1.75,0.65,1.55
September 2017,Andaman and Nicobar Islands,0.8,1.95,0.75,1.75
October 2017,Andaman and Nicobar Islands,0.9,2.15,0.85,1.95
November 2017,Andaman and Nicobar Islands,1,2.35,0.95,2.15
December 2017,Andaman and Nicobar Islands,1.2,2.7,1.10,2.45
January 2018,Andaman and Nicobar Islands,1.4,3.05,1.25,2.75
February 2018,Andaman and Nicobar Islands,1.6,3.4,1.40,3.05
March 2018,Andaman and Nicobar Islands,1.8,3.75,1.55,3.35
April 2018,Andaman and Nicobar Islands,2,4.1,1.70,3.65
May 2018,Andaman and Nicobar Islands,2.25,4.6,1.90,4.10
June 2018,Andaman and Nicobar Islands,2.5,5.1,2.10,4.55
July 2018,Andaman and Nicobar Islands,2.75,5.6,2.30,5.00
August 2018,Andaman and Nicobar Islands,3,6.1,2.50,5.45
September 2018,Andaman and Nicobar Islands,3.3,6.75,2.75,6.05
October 2018,Andaman and Nicobar Islands,3.6,7.4,3.00,6.65
November 2018,Andaman and Nicobar Islands,3.9,8.05,3.25,7.25
December 2018,Andaman and Nicobar Islands,4.35,8.9,3.60,8.00
January 2019,Andaman and Nicobar Islands,4.8,9.75,3.95,8.75
February 2019,Andaman and Nicobar Islands,5.25,10.6,4.30,9.50
March 2019,Andaman and Nicobar Islands,5.7,11.45,4.65,10.25
April 2019,Andaman and Nicobar Islands,6.15,12.3,5.00,11.00
May 2019,Andaman and Nicobar Islands,6.75,13.6,5.50,12.10
June 2019,Andaman and Nicobar Islands,7.35,14.9,6.00,13.20
July 2019,Andaman and Nicobar Islands,7.95,16.2,6.50,14.30
August 2019,Andaman and Nicobar Islands,8.55,17.5,7.00,15.40
September 2019,Andaman and Nicobar Islands,9.15,18.8,7.50,16.50
October 2019,Andaman and Nicobar Islands,9.75,20.1,8.00,17.60
November 2019,Andaman and Nicobar Islands,10.5,21.7,8.60,19.00
December 2019,Andaman and Nicobar Islands,11.4,23.6,9.30,20.70
January 2020,Andaman and Nicobar Islands,12.3,25.5,10.00,22.40
February 2020,Andaman and Nicobar Islands,13.2,27.4,10.70,24.10
March 2020,Andaman and Nicobar Islands,14.1,29.3,11.40,25.80
April 2020,Andaman and Nicobar Islands,15,31.1,12.10,27.50
